gameId,season,week,gameDate,gameTimeEastern,gameTimeLocal,homeTeamId,visitorTeamId,seasonType,weekNameAbbr,siteId,homeTeamDistance,visitingTeamDistance,homeTeamFinalScore,visitingTeamFinalScore,winningTeam
26989,2004,6,2004-10-17,13:02:00,13:02:00,3200,4600,REG,Week 6,1065,2,2479,30,20,3200
26993,2004,6,2004-10-17,16:15:00,15:15:00,1200,3900,REG,Week 6,4948,13,1085,20,24,3900
26994,2004,6,2004-10-17,16:15:00,13:15:00,2520,1400,REG,Week 6,3225,3,943,3,31,1400
26995,2004,6,2004-10-17,20:36:00,19:36:00,3300,3000,REG,Week 6,2870,9,1046,31,38,3000
26990,2004,6,2004-10-17,13:03:00,13:03:00,3430,4500,REG,Week 6,3757,17,2547,22,14,3430
26991,2004,6,2004-10-17,13:04:00,13:04:00,3700,750,REG,Week 6,2769,2,448,30,8,3700
26992,2004,6,2004-10-17,13:02:00,12:02:00,2100,2120,REG,Week 6,2350,3,671,10,20,2120
26996,2004,6,2004-10-18,21:09:00,20:09:00,2510,4900,REG,Week 6,1006,17,860,28,21,2510
27000,2004,7,2004-10-24,13:00:00,12:00:00,2200,2250,REG,Week 7,2878,8,700,24,27,2250
27001,2004,7,2004-10-24,13:00:00,12:00:00,2310,200,REG,Week 7,1552,1,676,56,10,2310
27002,2004,7,2004-10-24,13:02:00,13:02:00,2700,2510,REG,Week 7,2475,8,1066,31,14,2700
26997,2004,7,2004-10-24,13:02:00,13:02:00,325,610,REG,Week 7,3695,13,265,20,6,325
26998,2004,7,2004-10-24,13:02:00,13:02:00,750,4400,REG,Week 7,1769,1,2073,6,17,4400
26999,2004,7,2004-10-24,13:03:00,13:03:00,1050,3700,REG,Week 7,1048,13,358,31,34,3700
27003,2004,7,2004-10-24,13:00:00,12:00:00,3000,2100,REG,Week 7,1004,12,694,20,3,3000
27007,2004,7,2004-10-24,15:16:00,13:16:00,3800,4600,REG,Week 7,1907,6,1110,25,17,3800
27008,2004,7,2004-10-24,16:15:00,15:15:00,1800,1200,REG,Week 7,2606,1,933,41,20,1800
27009,2004,7,2004-10-24,16:15:00,13:15:00,2520,3300,REG,Week 7,3225,3,1901,26,31,3300
27004,2004,7,2004-10-24,13:03:00,13:03:00,3410,1540,REG,Week 7,3757,1,483,13,28,1540
27005,2004,7,2004-10-24,13:02:00,13:02:00,4900,810,REG,Week 7,3697,1,1031,19,7,4900
27006,2004,7,2004-10-24,16:05:00,16:05:00,3200,3430,REG,Week 7,1065,2,186,13,7,3200
27010,2004,7,2004-10-25,21:09:00,21:09:00,920,1400,REG,Week 7,3530,1,1085,23,10,920
27014,2004,8,2004-10-31,13:00:00,12:00:00,2310,2200,REG,Week 8,1552,1,442,45,35,2310
27015,2004,8,2004-10-31,13:00:00,12:00:00,3000,3410,REG,Week 8,1004,12,1009,13,34,3410
27016,2004,8,2004-10-31,13:03:00,13:03:00,3700,325,REG,Week 8,2769,2,92,15,10,3700
27011,2004,8,2004-10-31,13:02:00,13:02:00,610,3800,REG,Week 8,3770,2,1903,38,14,610
27012,2004,8,2004-10-31,13:03:00,12:03:00,1200,1540,REG,Week 8,4948,13,1003,31,21,1200
27013,2004,8,2004-10-31,13:02:00,12:02:00,2120,2250,REG,Week 8,3698,1,824,20,6,2120
27017,2004,8,2004-10-31,13:03:00,12:03:00,2100,920,REG,Week 8,2350,3,238,27,20,2100
27021,2004,8,2004-10-31,16:15:00,16:15:00,3900,3200,REG,Week 8,5411,2,469,34,20,3900
27022,2004,8,2004-10-31,16:15:00,13:15:00,4400,2520,REG,Week 8,1002,2,448,42,14,4400
27023,2004,8,2004-10-31,20:36:00,19:36:00,810,4500,REG,Week 8,4620,29,1841,23,13,810
27018,2004,8,2004-10-31,13:03:00,13:03:00,5110,1800,REG,Week 8,2389,34,693,14,28,1800
27019,2004,8,2004-10-31,16:05:00,14:05:00,1400,200,REG,Week 8,5786,14,1224,28,41,200
27020,2004,8,2004-10-31,16:06:00,13:06:00,4600,750,REG,Week 8,5315,9,2281,23,17,4600
27024,2004,8,2004-11-01,21:08:00,21:08:00,3430,2700,REG,Week 8,3757,17,1078,41,13,3430
27028,2004,9,2004-11-07,13:04:00,13:04:00,1540,5110,REG,Week 9,2026,10,370,10,17,5110
27029,2004,9,2004-11-07,13:02:00,13:02:00,2700,3800,REG,Week 9,2475,8,1962,23,24,3800
27030,2004,9,2004-11-07,13:02:00,13:02:00,3900,3700,REG,Week 9,5411,2,258,27,3,3900
27025,2004,9,2004-11-07,13:02:00,13:02:00,610,3430,REG,Week 9,3770,2,265,22,17,610
27026,2004,9,2004-11-07,13:02:00,13:02:00,750,2520,REG,Week 9,1769,1,2288,24,27,2520
27027,2004,9,2004-11-07,13:02:00,13:02:00,920,1200,REG,Week 9,3530,1,817,26,3,920
27031,2004,9,2004-11-07,13:00:00,13:00:00,4900,2310,REG,Week 9,3697,1,1029,34,31,4900
27035,2004,9,2004-11-07,16:15:00,14:15:00,1400,2120,REG,Week 9,5786,14,883,31,13,1400
27036,2004,9,2004-11-07,16:15:00,15:15:00,2510,3200,REG,Week 9,1006,17,1023,22,40,3200
27037,2004,9,2004-11-07,20:36:00,20:36:00,325,1050,REG,Week 9,3695,13,311,27,13,325
27032,2004,9,2004-11-07,16:06:00,16:06:00,3410,810,REG,Week 9,3757,1,720,21,28,810
27033,2004,9,2004-11-07,16:05:00,13:05:00,4400,3300,REG,Week 9,1002,2,1594,43,17,4400
